,Collection,24 hs %,7 d %,Owners,Items,Category,Chain,Twitter followers,Ownership %,Volume (USD) in M,Floor (USD),Gas Volume (USD) in M,Gas %,Market Share %,Growth,Ownership Status,Popularity,Accesibility,Gas Status,Market Status
136,Aces NFT,0.0,-50.870000000000005,898,5400,Trading Cards,Solana,41300,16.62962962962963,0.03492,22.5,9.076086e-07,2.5991082474226805e-05,0.09,Not interesting,Not interesting,Potential community,Highly accesible,Low gas,Fish
137,Solaxy Metaverse,46.58,-71.92,494,1000,Trading Cards,Solana,10300,49.4,0.02907,89.55,4.992858e-07,1.7175294117647057e-05,0.08,Not interesting,Not interesting,Emerging,Middle Accesible,Not interesting,Fish
138,Secret Space Society: OG Club Card,47.8,10524.800000000001,197,333,Trading Cards,Solana,5620,59.15915915915916,0.01107,0.0,1.991079e-07,1.7986260162601627e-05,0.03,Hot - buy now,Not interesting,Emerging,Not interesting,Not interesting,Fish
139,SHIZOKU,49.33,0.0,150,1100,Trading Cards,Solana,3864,13.636363636363635,0.00531,19.8,1.5160499999999999e-07,2.8550847457627117e-05,0.01,Not interesting,Not interesting,Emerging,Highly accesible,Not interesting,Fish
140,Shadowy Super Coder,5925.4,6.12,148,10000,Utility,Solana,41800,1.48,10.50147,0.0,1.495836e-07,1.4244062974040778e-08,28.56,Hot - watchlist,Not interesting,Potential community,Not interesting,Not interesting,Whale
141,Blocksmith Labs,-35.06,4.55,2800,4400,Utility,Solana,49900,63.63636363636363,7.47819,10125.0,2.8299599999999998e-06,3.78428469990733e-07,20.34,Not interesting,Medium OS,Community,Top Collectors,Low gas,Whale
142,Stoned Ape Crew,246.0,11.84,4100,4200,Utility,Solana,67200,97.61904761904762,5.97015,0.0,4.14387e-06,6.940981382377327e-07,16.24,Hot - buy now,Medium OS,Community,Not interesting,Low gas,Whale
143,Famous Fox Federation,-17.630000000000003,-46.2,4100,7800,Utility,Solana,43300,52.56410256410257,5.828265,2236.5,4.14387e-06,7.109954677764309e-07,15.85,Not interesting,Medium OS,Community,Top Collectors,Low gas,Shark
144,Dazed Ducks,-20.62,-65.42,3500,10000,Utility,Solana,23600,35.0,4.58793,450.0,3.5374500000000003e-06,7.710339957235617e-07,12.48,Not interesting,Low OS,Potential community,Top Collectors,Low gas,Shark
145,Portals,70.48,-12.32,2900,5000,Virtual Worlds,Solana,51500,57.99999999999999,9.192375,2024.5500000000002,2.9310300000000004e-06,3.188544853751071e-07,25.0,Not interesting,Medium OS,Community,Top Collectors,Low gas,Whale
146,The Suites,-4.04,-43.88,2700,4900,Virtual Worlds,Solana,21400,55.10204081632652,4.630725,441.00000000000006,2.72889e-06,5.893008114280161e-07,12.59,Not interesting,Medium OS,Potential community,Top Collectors,Low gas,Shark
147,Enviro,-12.61,-18.45,3700,14000,Virtual Worlds,Solana,21000,26.42857142857143,4.32099,0.0,3.7395900000000003e-06,8.654475016142135e-07,11.75,Not interesting,Low OS,Potential community,Not interesting,Low gas,Shark
148,LUX | Real Estate,32366.699999999997,-20.26,2600,5000,Virtual Worlds,Solana,90300,52.0,4.18491,218.70000000000002,2.6278199999999998e-06,6.279274823114475e-07,11.38,Not interesting,Medium OS,Community,Middle Accesible,Low gas,Shark
149,Boryoku Dragonz,0.0,-72.32,548,1100,Virtual Worlds,Solana,70000,49.81818181818182,4.013505,19980.0,5.538636e-07,1.3799997757571e-07,10.92,Not interesting,Low OS,Community,Top Collectors,Not interesting,Shark
150,KLAYDICE GENESIS-OFFICIAL,-1.2,-41.69,2000,3800,New,Klaytn,74200,52.63157894736842,0.000848,592.752,0.000126,0.14858490566037735,0.0,Not interesting,Not interesting,Community,Top Collectors,Medium gas,Not interesting
151,CHANGEVERSE,0.0,-100.0,3000,6000,New,Klaytn,1271,50.0,0.001272,4028.0,0.000189,0.14858490566037738,0.0,Not interesting,Not interesting,Emerging,Top Collectors,Medium gas,Not interesting
152,Waterbomb League Official,-53.410000000000004,-30.53,644,2800,New,Klaytn,2421,23.0,0.000273056,71.65599999999999,4.0572000000000004e-05,0.14858490566037738,0.0,Not interesting,Not interesting,Emerging,Middle Accesible,Low gas,Not interesting
153,Hyundai E&C 75th Anniversary NFT,-68.93,0.0,557,750,New,Klaytn,0,74.26666666666667,0.000236168,228.536,3.5091e-05,0.14858490566037735,0.0,Not interesting,Not interesting,Not interesting,Middle Accesible,Low gas,Not interesting
154,KEROZ LAND MINT PASS,0.0,-37.39,691,3600,New,Klaytn,13900,19.194444444444443,0.000292984,146.28,4.3533e-05,0.14858490566037735,0.0,Not interesting,Not interesting,Potential community,Middle Accesible,Low gas,Not interesting
155,META CATS V1,40.339999999999996,5.56,1300,10000,Art,Klaytn,10200,13.0,0.0005512,12.719999999999999,8.190000000000001e-05,0.14858490566037738,0.0,Hot - watchlist,Not interesting,Emerging,Highly accesible,Low gas,Not interesting
156,renaissance-nft,0.0,-70.41,715,3100,Art,Klaytn,1775,23.06451612903226,0.00030315999999999996,189.952,4.5045e-05,0.14858490566037738,0.0,Not interesting,Not interesting,Emerging,Middle Accesible,Low gas,Not interesting
157,CYE ChuchuCAT V0,0.0,-54.559999999999995,1000,3500,Art,Klaytn,7364,28.57142857142857,0.000424,67.84,6.3e-05,0.14858490566037735,0.0,Not interesting,Not interesting,Emerging,Middle Accesible,Low gas,Not interesting
158,KlayDogesFriend,0.0,-100.0,1100,4100,Art,Klaytn,11800,26.82926829268293,0.00046639999999999995,0.0,6.929999999999999e-05,0.14858490566037735,0.0,Not interesting,Not interesting,Potential community,Not interesting,Low gas,Not interesting
159,Project Spoon DAO,0.0,109.5,1300,10000,Art,Klaytn,4629,13.0,0.0005512,19.08,8.190000000000001e-05,0.14858490566037738,0.0,Not interesting,Not interesting,Emerging,Highly accesible,Low gas,Not interesting
160,THE META KONGZ KLAYTN,-55.03,-10.07,2000,6200,Collectibles,Klaytn,81800,32.25806451612903,0.000848,4960.8,0.000126,0.14858490566037735,0.0,Not interesting,Not interesting,Community,Top Collectors,Medium gas,Not interesting
161,Meta Toy DragonZ,148.47,7.42,2800,9800,Collectibles,Klaytn,16800,28.57142857142857,0.0011872,747.512,0.0001764,0.14858490566037735,0.0,Hot - watchlist,Not interesting,Potential community,Top Collectors,Medium gas,Not interesting
162,Mutant Kongz & G.rilla Official,-28.349999999999998,6.12,6100,19500,Collectibles,Klaytn,11300,31.28205128205128,0.0025864,368.88,0.0003843,0.14858490566037735,0.01,Not interesting,Not interesting,Potential community,Middle Accesible,Medium gas,Fish
163,DSC | DIGITAL IDENTITY,-100.0,20.0,1800,10000,Collectibles,Klaytn,17200,18.0,0.0007631999999999999,118.72,0.0001134,0.14858490566037738,0.0,Not interesting,Not interesting,Potential community,Middle Accesible,Medium gas,Not interesting
164,"Meta Adventure, frozen",0.0,0.0,3400,10000,Collectibles,Klaytn,11400,34.0,0.0014416,1.696,0.00021419999999999998,0.14858490566037735,0.0,Not interesting,Not interesting,Potential community,Highly accesible,Medium gas,Not interesting
165,,0.0,0.0,0,0,Domain Names,Klaytn,0,0.0,0.0,0.0,0.0,0.0,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting
166,,0.0,0.0,0,0,Domain Names,Klaytn,0,0.0,0.0,0.0,0.0,0.0,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting
167,,0.0,0.0,0,0,Domain Names,Klaytn,0,0.0,0.0,0.0,0.0,0.0,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting
168,,0.0,0.0,0,0,Domain Names,Klaytn,0,0.0,0.0,0.0,0.0,0.0,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting
169,,0.0,0.0,0,0,Domain Names,Klaytn,0,0.0,0.0,0.0,0.0,0.0,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting
170,[TREASURES CLUB x SEOBOBIN] YOU ARE THE TREASURE,0.0,-31.77,351,600,Music,Klaytn,0,58.5,0.00014882399999999998,24.168,2.2113e-05,0.14858490566037738,0.0,Not interesting,Not interesting,Not interesting,Highly accesible,Low gas,Not interesting
171,Strange Sound Club,0.0,0.0,11,31,Music,Klaytn,1705,35.483870967741936,4.664e-06,25.439999999999998,6.930000000000001e-07,0.14858490566037738,0.0,Not interesting,Not interesting,Emerging,Highly accesible,Not interesting,Not interesting
172,Lil 9ap - Limatic,-100.0,0.0,93,1,Music,Klaytn,0,9300.0,3.9432000000000005e-05,0.0,5.859e-06,0.14858490566037735,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Low gas,Not interesting
173,SQUARE Records,0.0,0.0,8,20,Music,Klaytn,129,40.0,3.392e-06,0.0,5.04e-07,0.14858490566037735,0.0,Not interesting,Not interesting,Emerging,Not interesting,Not interesting,Not interesting
174,Kwani Studio,0.0,0.0,2,2,Music,Klaytn,0,100.0,8.48e-07,0.0,1.26e-07,0.14858490566037735,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting
175,Dragonsky,0.0,-100.0,68,294,Photography,Klaytn,3837,23.12925170068027,2.8832e-05,6.359999999999999,4.284e-06,0.14858490566037735,0.0,Not interesting,Not interesting,Emerging,Highly accesible,Low gas,Not interesting
176,Dragonsky Collaboration,0.0,0.0,6,15,Photography,Klaytn,3837,40.0,2.544e-06,0.0,3.78e-07,0.14858490566037735,0.0,Not interesting,Not interesting,Emerging,Not interesting,Not interesting,Not interesting
177,the hami flowers,0.0,-100.0,10,27,Photography,Klaytn,19,37.03703703703704,4.24e-06,4.24,6.3e-07,0.14858490566037735,0.0,Not interesting,Not interesting,Not interesting,Highly accesible,Not interesting,Not interesting
178,Dragonsky Edition,0.0,0.0,1100,15,Photography,Klaytn,3837,7333.333333333333,0.00046639999999999995,0.0848,6.929999999999999e-05,0.14858490566037735,0.0,Not interesting,Not interesting,Emerging,Highly accesible,Low gas,Not interesting
179,byThere,0.0,0.0,10,14,Photography,Klaytn,297,71.42857142857143,4.24e-06,0.0,6.3e-07,0.14858490566037735,0.0,Not interesting,Not interesting,Emerging,Not interesting,Not interesting,Not interesting
180,ProjectWITH,0.0,0.0,9,18,Sports,Klaytn,1682,50.0,3.8159999999999995e-06,212.0,5.669999999999999e-07,0.14858490566037735,0.0,Not interesting,Not interesting,Emerging,Middle Accesible,Not interesting,Not interesting
181,StatNFT,0.0,0.0,117,960,Sports,Klaytn,1529,12.1875,4.9608e-05,1.696,7.371e-06,0.14858490566037738,0.0,Not interesting,Not interesting,Emerging,Highly accesible,Low gas,Not interesting
182,SNKRZ NFT,0.0,0.0,4,70,Sports,Klaytn,39000,5.714285714285714,1.696e-06,207.76,2.52e-07,0.14858490566037735,0.0,Not interesting,Not interesting,Potential community,Middle Accesible,Not interesting,Not interesting
183,TEAMKOREA HOHO,0.0,0.0,363,3000,Sports,Klaytn,0,12.1,0.000153912,1.272,2.2869e-05,0.14858490566037735,0.0,Not interesting,Not interesting,Not interesting,Highly accesible,Low gas,Not interesting
184,yamfers junior,0.0,0.0,203,431,Sports,Klaytn,0,47.09976798143852,8.6072e-05,1.696,1.2788999999999999e-05,0.14858490566037735,0.0,Not interesting,Not interesting,Not interesting,Highly accesible,Low gas,Not interesting
185,SYLTARE-OFFICIAL,0.0,-100.0,2300,9400,Trading Cards,Klaytn,19900,24.46808510638298,0.0009752,1394.96,0.0001449,0.14858490566037735,0.0,Not interesting,Not interesting,Potential community,Top Collectors,Medium gas,Not interesting
186,"SYLTARE, Frozen",0.0,0.0,2500,9100,Trading Cards,Klaytn,19900,27.472527472527474,0.00106,424.0,0.0001575,0.14858490566037738,0.0,Not interesting,Not interesting,Potential community,Top Collectors,Medium gas,Not interesting
187,ArcheWorld_FandomCard,4.77,0.0,735,2200,Trading Cards,Klaytn,13000,33.409090909090914,0.00031163999999999996,245.92,4.6305e-05,0.14858490566037738,0.0,Not interesting,Not interesting,Potential community,Middle Accesible,Low gas,Not interesting
188,ArcheWorld_Land,-6.4,0.0,478,1400,Trading Cards,Klaytn,13000,34.14285714285714,0.000202672,220.48,3.0114e-05,0.14858490566037738,0.0,Not interesting,Not interesting,Potential community,Middle Accesible,Low gas,Not interesting
189,Puzzle Fantasy,-100.0,0.0,518,5000,Trading Cards,Klaytn,3785,10.36,0.00021963200000000001,103.88,3.2634e-05,0.14858490566037735,0.0,Not interesting,Not interesting,Emerging,Middle Accesible,Low gas,Not interesting
190,KEROZ LAND MINT PASS,0.0,-37.39,691,3600,Utility,Klaytn,13900,19.194444444444443,0.000292984,148.4,4.3533e-05,0.14858490566037735,0.0,Not interesting,Not interesting,Potential community,Middle Accesible,Low gas,Not interesting
191,Klay Museum,-100.0,1900.0,539,5500,Utility,Klaytn,3242,9.8,0.000228536,11.024,3.3957e-05,0.14858490566037735,0.0,Not interesting,Not interesting,Emerging,Highly accesible,Low gas,Not interesting
192,Klanium Card,0.0,55.78999999999999,1200,3400,Utility,Klaytn,55400,35.294117647058826,0.0005088,16.112,7.56e-05,0.14858490566037735,0.0,Not interesting,Not interesting,Community,Highly accesible,Low gas,Not interesting
193,ChartpanNFT,-3.343,229.1,256,10000,Utility,Klaytn,3744,2.56,0.000108544,50.879999999999995,1.6128e-05,0.14858490566037735,0.0,Not interesting,Not interesting,Emerging,Middle Accesible,Low gas,Not interesting
194,Neverland Pirateships,0.0,-90.39,209,1000,Utility,Klaytn,2748,20.9,8.861599999999999e-05,13.991999999999999,1.3167e-05,0.14858490566037735,0.0,Not interesting,Not interesting,Emerging,Highly accesible,Low gas,Not interesting
195,,0.0,0.0,0,0,Virtual Worlds,Klaytn,0,0.0,0.0,0.0,0.0,0.0,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting
196,,0.0,0.0,0,0,Virtual Worlds,Klaytn,0,0.0,0.0,0.0,0.0,0.0,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting
197,,0.0,0.0,0,0,Virtual Worlds,Klaytn,0,0.0,0.0,0.0,0.0,0.0,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting
198,,0.0,0.0,0,0,Virtual Worlds,Klaytn,0,0.0,0.0,0.0,0.0,0.0,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting
199,,0.0,0.0,0,0,Virtual Worlds,Klaytn,0,0.0,0.0,0.0,0.0,0.0,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting
