Collection,Volume,24 hs %,7 d %,Floor,Owners,Items,Category,Chain,Crypto,Is +1 category?,Marketplace,Twitter followers,Volume (USD),Floor (USD)
Decentraland Wearables,48471.79,8.5427,-0.35,0.01,10700,71600,Virtual Worlds,Ethereum,ETH,0,,1797,88889507.37,18.3384
Town Star,27693.79,0.0518,-0.416,0.01,44300,518,Virtual Worlds,Ethereum,ETH,0,,10700,50785979.85,18.3384
Phantom Galaxies Planer Genesis Series,56.24,1.6054,7.8583,0.01,3700,7,New,Polygon,ETH,0,,108200,103135.1616,18.3384
Creadore Universe,37.41,0.233,0.0992,0.56,1600,1600,New,Polygon,ETH,0,,12500,68603.9544,1026.9504
KemonoVerse,30.36,,-0.907,0.08,531,3300,New,Polygon,ETH,0,,8700,55675.3824,146.7072
The Cornz,12.34,-1,-0.9355,0.01,1000,15000,New,Polygon,ETH,0,,1330,22629.5856,18.3384
Adocatty,9.14,,-0.5089,0.01,65,2000,New,Polygon,ETH,0,,,16761.2976,18.3384
The Martians: Metaverse,1799.37,-0.5019,0.3902,0.62,710,5000,Art,Polygon,ETH,0,,73800,3299756.681,1136.9808
DEFY Genesis Masks,1122.53,-0.2654,-0.2605,0.28,4800,8700,Art,Polygon,ETH,0,,34000,2058540.415,513.4752
Artvatars,711.5,-1,-0.8022,0.09,1600,6700,Art,Polygon,ETH,0,,22200,1304777.16,165.0456
Chinese Zodiaz Metavase by YassartLabs,425.3,,,,143,1000,Art,Polygon,ETH,0,,108,779932.152,0
Redemption Tokens for Brendan Murphy Physical Art,252.38,,,,1000,5,Art,Polygon,ETH,0,,40000,462824.5392,0
ZED RUN Legacy,46715.85,-0.7309,-0.3447,0.01,36000,217900,Collectibles,Polygon,ETH,1,,69500,85669394.36,18.3384
BCCG,4022.47,-1,559.795,0.01,5400,58,Collectibles,Polygon,ETH,0,,,7376566.385,18.3384
PolkaPets TCG,3486.63,,0.8585,0.01,4600,42,Collectibles,Polygon,ETH,1,,57100,6393921.559,18.3384
Chumbi Valley Official,3105.75,1.4948,0.4407,0.2,1800,4100,Collectibles,Polygon,ETH,0,,246300,5695448.58,366.768
Ember Sword Land,3041.62,-0.85,0.19,0.1,6100,40000,Collectibles,Polygon,ETH,0,,2685,5577844.421,183.384
,,,,,,,Domain Names,Polygon,ETH,0,,,0,0
,,,,,,,Domain Names,Polygon,ETH,0,,,0,0
,,,,,,,Domain Names,Polygon,ETH,0,,,0,0
,,,,,,,Domain Names,Polygon,ETH,0,,,0,0
,,,,,,,Domain Names,Polygon,ETH,0,,,0,0
DogeSound Compilation (3PM official),30.92,,-1,,397,4,Music,Polygon,ETH,0,,2288,56702.3328,0
WVRPS Drops,7.52,58.644,1.29,0.1,6100,10,Music,Polygon,ETH,0,,26300,13790.4768,183.384
XXXTentacion NFT Collection (Official),1.99,-1,1.36,0.1,2900,30000,Music,Polygon,ETH,0,,,3649.3416,183.384
Mint Songs,1.91,,0.74,0.1,2800,74600,Music,Polygon,ETH,0,,16100,3502.6344,183.384
Boomboom Monsters,1.28,,-0.93,,38,111,Music,Polygon,ETH,0,,4600,2347.3152,0
Itadakimasu Man,20.55,,-1,0.1,330,758,Photography,Polygon,ETH,0,,2162,37685.412,183.384
AP Photojournalism NFTs,3.24,,-1,0.04,122,190,Photography,Polygon,ETH,0,,15800000,5941.6416,73.3536
8 yers of Everydays,0.34,-1,,,7,2400,Photography,Polygon,ETH,0,,,623.5056,0
Foundnon: Artifacts,0.29,,,,80,130,Photography,Polygon,ETH,0,,2778,531.8136,0
The New Days,0.29,,-1,,2,4,Photography,Polygon,ETH,0,,,531.8136,0
ZED RUN Legacy,46715.85,-0.7309,-0.3447,0.01,36000,217900,Sports,Polygon,ETH,1,,69500,85669394.36,18.3384
ZED RUN,949.54,-0.3024,1.2247,0.01,26700,200100,Sports,Polygon,ETH,0,,69500,1741304.434,18.3384
REVV Racing,324.87,0.9331,0.4329,0.01,59400,169200,Sports,Polygon,ETH,0,,157200,595759.6008,18.3384
MetaSoccer Youth Scouts,212.48,,-0.8021,0.02,1400,8500,Sports,Polygon,ETH,0,,,389654.3232,36.6768
Friday Night Punks,47.86,-0.0426,-0.0297,0.03,657,321,Sports,Polygon,ETH,0,,1700,87767.5824,55.0152
BCCG,4022.47,-1,559.795,0.01,5400,58,Trading Cards,Polygon,ETH,0,,,7376566.385,18.3384
PolkaPets TCG,3486.63,,0.8585,0.01,4600,42,Trading Cards,Polygon,ETH,1,,57100,6393921.559,18.3384
Ethernity's Master Collection,1233.1,50.606,-0.4384,0.01,8200,22100,Trading Cards,Polygon,ETH,0,,127100,2261308.104,18.3384
Marble Cards,618.4,,-1,,10200,256900,Trading Cards,Polygon,ETH,0,,27500,1134046.656,0
PolkaFantasy,227.08,-1,25.89,,1300,6700,Trading Cards,Polygon,ETH,0,,48800,416428.3872,0
Decentral Games ICE Poker,12098.04,0.3337,-0.03639,0.33,4100,34200,Utility,Polygon,ETH,0,,101500,22185869.67,605.1672
Chicken Derby,4021.81,-0.4862,-0.02807,0.02,6000,33300,Utility,Polygon,ETH,0,,25000,7375356.05,36.6768
Crypto Raiders Characters,2287.86,0.539,0.6398,0.01,4500,68900,Utility,Polygon,ETH,0,,29000,4195569.182,18.3384
Genesis Curry Flow,2175.79,40.63,0.4587,0.1,2200,5,Utility,Polygon,ETH,0,,484000,3990050.734,183.384
The Red Village Champions,2092.17,-0.123,-0.2419,0.06,2000,11000,Utility,Polygon,ETH,0,,19200,3836705.033,110.0304
Ember Sword Land,3041.62,-0.8508,0.19,0.1,6100,40000,Virtual Worlds,Polygon,ETH,0,,87500,5577844.421,183.384
Mona Spaces (Polygon),24.32,,,0.1,82,123,Virtual Worlds,Polygon,ETH,0,,16800,44598.9888,183.384
Cyber Destinations Curated,12.76,,,,1,1,Virtual Worlds,Polygon,ETH,0,,,23399.7984,0
NFT Moon Metaverse (Polygon),1.34,,,0.6,163,286,Virtual Worlds,Polygon,ETH,0,,50800,2457.3456,1100.304
Shen V4,,,,,163,10,Virtual Worlds,Polygon,ETH,0,,,0,0
Trippin' Ape Tribe,407648,-0.2019,,42,6400,10000,New,Solana,SOL,1,,380100,18344160,1890
Cardboard Citizens,70640,-0.2742,-0.632,4.9,3100,6800,New,Solana,SOL,0,,14400,3178800,220.5
Balloonsville,58537,-0.3244,-0.1588,,1400,5000,New,Solana,SOL,0,,16600,2634165,0
The Bridged bt The Fracture,55681,-0.1979,-0.6077,4,4300,9800,New,Solana,SOL,0,,,2505645,180
Bunnies N Homies Club,45266,-0.3957,,3.98,4100,7600,New,Solana,SOL,0,,89700,2036970,179.1
Okay Bears,1632888,-0.73,-0.684,169,5400,10000,Art,Solana,SOL,0,,150000,73479960,7605
Trippin' Ape Tribe,399519,-0.1997,,42,6400,10000,Art,Solana,SOL,1,,380100,17978355,1890
ASTRALS,140966,-0.05,0.0093,,3600,10000,Art,Solana,SOL,0,,35800,6343470,0
SOLgods,110417,-0.1891,-0.0599,54,1000,670,Art,Solana,SOL,0,,39100,4968765,2430
MOUS IN DA HOUS,107114,-0.156,-0.6881,6.3,750,4400,Art,Solana,SOL,0,,27300,4820130,283.5
DeGods,541978,-0.4267,-0.169,418.33,4300,10000,Collectibles,Solana,SOL,0,,10500,24389010,18824.85
Cets on Creck,288445,-0.6714,-0.1635,63.9,4100,7000,Collectibles,Solana,SOL,0,,44200,12980025,2875.5
TombStoned High Society,145953,-0.3504,0.2637,14.5,893,6600,Collectibles,Solana,SOL,0,,61500,6567885,652.5
Degenerate Ape Academy,144557,-0.2991,-0.2591,62,4300,10000,Collectibles,Solana,SOL,0,,111111,6505065,2790
Space Runners,127793,-1,-0.8878,10,5100,9800,Collectibles,Solana,SOL,0,,,5750685,450
,,,,,,,Domain Names,Solana,SOL,0,,,0,0
,,,,,,,Domain Names,Solana,SOL,0,,,0,0
,,,,,,,Domain Names,Solana,SOL,0,,,0,0
,,,,,,,Domain Names,Solana,SOL,0,,,0,0
,,,,,,,Domain Names,Solana,SOL,0,,,0,0
PixelBands,14166.53,78.2,1.2254,0.62,1200,4400,Music,Solana,SOL,0,,16000,637493.85,27.9
SVPLY CHVN Male Robots,4918.96,14.238,-0.7977,3,889,2100,Music,Solana,SOL,0,,3253,221353.2,135
NETGALA,1586.11,,1,0.74,761,2500,Music,Solana,SOL,0,,10700,71374.95,33.3
Culture Kids,,,,,5,5,Music,Solana,SOL,0,,3332,0,0
